"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"FIN","HHDI","NET","AGRWTH","A","2008",2.30528050562381,
"FIN","HHDI","NET","AGRWTH","A","2009",0.815627431313786,
"FIN","HHDI","NET","AGRWTH","A","2010",2.42117712923999,
"FIN","HHDI","NET","AGRWTH","A","2011",0.744967099687263,
"FIN","HHDI","NET","AGRWTH","A","2012",-0.027874584312687,
"FIN","HHDI","NET","AGRWTH","A","2013",0.02576134311522,
"FIN","HHDI","NET","AGRWTH","A","2014",-0.43182061913264,
"FIN","HHDI","NET","AGRWTH","A","2015",1.12855853362934,
"FIN","HHDI","NET","AGRWTH","A","2016",1.86741252015955,
"FIN","HHDI","NET","AGRWTH","A","2017",0.984016867394254,
"FIN","HHDI","NET","AGRWTH","A","2018",2.0035983373455,
"FIN","HHDI","NET","AGRWTH","A","2019",1.80149061746154,
"FRA","HHDI","NET","AGRWTH","A","1980",0.534525498130756,
"FRA","HHDI","NET","AGRWTH","A","1981",1.7530045572577,
"FRA","HHDI","NET","AGRWTH","A","1982",2.72327915856011,
"FRA","HHDI","NET","AGRWTH","A","1983",0.389313892517506,
"FRA","HHDI","NET","AGRWTH","A","1984",-0.262532903669203,
"FRA","HHDI","NET","AGRWTH","A","1985",1.3582172991603,
"FRA","HHDI","NET","AGRWTH","A","1986",2.76713031330634,
"FRA","HHDI","NET","AGRWTH","A","1987",1.71424355335231,
"FRA","HHDI","NET","AGRWTH","A","1988",3.26352305480858,
"FRA","HHDI","NET","AGRWTH","A","1989",3.44386432318577,
"FRA","HHDI","NET","AGRWTH","A","1990",3.97903705217718,
"FRA","HHDI","NET","AGRWTH","A","1991",1.43336440691852,
"FRA","HHDI","NET","AGRWTH","A","1992",2.69035862168307,
"FRA","HHDI","NET","AGRWTH","A","1993",0.955040251557572,
"FRA","HHDI","NET","AGRWTH","A","1994",0.644398087577388,
"FRA","HHDI","NET","AGRWTH","A","1995",2.11253769400128,
"FRA","HHDI","NET","AGRWTH","A","1996",1.19515036121798,
"FRA","HHDI","NET","AGRWTH","A","1997",1.30281418136715,
